avg_caption_lenght,avg_comment_length,has_url_in_bio,has_profile_picture,has_highlight_reels,post_count,follower_count,following_count,engagement_page_rate,fake_followers_count,bio_length,avg_like_count,avg_comment_count,post_type,caption_length,hashtag_count,hashtag_rate,comment_count,like_count,view_count,label
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1437,11,36.3636,220,8439,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,762,10,0,800,12496,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,470,9,22.2222,32,3620,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,583,12,50,119,3927,35467,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,321,8,12.5,126,6077,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,395,7,14.2857,229,8354,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,628,10,10,1384,8871,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,265,10,10,0,14070,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,401,11,54.5455,334,14412,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,627,8,0,579,12660,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,506,9,66.6667,157,5154,48813,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,479,12,58.3333,847,28307,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,803,14,21.4286,82,4654,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,512,9,22.2222,473,14454,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1403,12,33.3333,569,7954,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,324,12,66.6667,232,12356,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,603,10,50,19,2229,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,554,12,25,122,9872,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1567,9,55.5556,0,5235,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,341,8,62.5,934,16250,159777,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,341,9,55.5556,223,6553,90100,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,357,10,70,2671,68689,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,696,9,66.6667,88,6600,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,803,8,25,210,6238,66976,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,551,8,50,41,4182,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,564,6,33.3333,129,3125,41388,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,620,10,10,43,3509,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,669,6,16.6667,146,7151,0,1
